START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/09/23,01:10 PM,03:10 PM,Nationals at Rockies,Coors Field - Denver,"Local Radio: KOA 850 AM/94.1 FM ",04/09/23,04/09/23,04:10 PM,06:10 PM,FALSE,TRUE,04/09/23,12:10 PM,02:10 PM,FREE,BUSY
04/10/23,06:40 PM,08:40 PM,Cardinals at Rockies,Coors Field - Denver,"",04/10/23,04/10/23,09:40 PM,11:40 PM,FALSE,TRUE,04/10/23,05:40 PM,07:40 PM,FREE,BUSY
04/11/23,06:40 PM,08:40 PM,Cardinals at Rockies,Coors Field - Denver,"",04/11/23,04/11/23,09:40 PM,11:40 PM,FALSE,TRUE,04/11/23,05:40 PM,07:40 PM,FREE,BUSY
04/12/23,01:10 PM,03:10 PM,Cardinals at Rockies,Coors Field - Denver,"",04/12/23,04/12/23,04:10 PM,06:10 PM,FALSE,TRUE,04/12/23,12:10 PM,02:10 PM,FREE,BUSY
04/14/23,08:10 PM,10:10 PM,Rockies at Mariners,T-Mobile Park - Seattle,"",04/14/23,04/15/23,11:10 PM,01:10 AM,FALSE,TRUE,04/14/23,07:10 PM,09:10 PM,FREE,BUSY
04/15/23,07:40 PM,09:40 PM,Rockies at Mariners,T-Mobile Park - Seattle,"",04/15/23,04/16/23,10:40 PM,12:40 AM,FALSE,TRUE,04/15/23,06:40 PM,08:40 PM,FREE,BUSY
04/16/23,02:10 PM,04:10 PM,Rockies at Mariners,T-Mobile Park - Seattle,"",04/16/23,04/16/23,05:10 PM,07:10 PM,FALSE,TRUE,04/16/23,01:10 PM,03:10 PM,FREE,BUSY
04/17/23,06:40 PM,08:40 PM,Pirates at Rockies,Coors Field - Denver,"",04/17/23,04/17/23,09:40 PM,11:40 PM,FALSE,TRUE,04/17/23,05:40 PM,07:40 PM,FREE,BUSY
04/18/23,06:40 PM,08:40 PM,Pirates at Rockies,Coors Field - Denver,"",04/18/23,04/18/23,09:40 PM,11:40 PM,FALSE,TRUE,04/18/23,05:40 PM,07:40 PM,FREE,BUSY
04/19/23,01:10 PM,03:10 PM,Pirates at Rockies,Coors Field - Denver,"",04/19/23,04/19/23,04:10 PM,06:10 PM,FALSE,TRUE,04/19/23,12:10 PM,02:10 PM,FREE,BUSY
04/20/23,04:40 PM,06:40 PM,Rockies at Phillies,Citizens Bank Park - Philadelphia,"Local TV: ATT SportsNet-RM- MLBN ----- Local Radio: KOA 850 AM/94.1 FM ",04/20/23,04/20/23,07:40 PM,09:40 PM,FALSE,TRUE,04/20/23,03:40 PM,05:40 PM,FREE,BUSY
04/21/23,05:05 PM,07:05 PM,Rockies at Phillies,Citizens Bank Park - Philadelphia,"",04/21/23,04/21/23,08:05 PM,10:05 PM,FALSE,TRUE,04/21/23,04:05 PM,06:05 PM,FREE,BUSY
04/22/23,02:05 PM,04:05 PM,Rockies at Phillies,Citizens Bank Park - Philadelphia,"",04/22/23,04/22/23,05:05 PM,07:05 PM,FALSE,TRUE,04/22/23,01:05 PM,03:05 PM,FREE,BUSY
04/23/23,10:05 AM,12:05 PM,Rockies at Phillies,Citizens Bank Park - Philadelphia,"Local TV: Peacock",04/23/23,04/23/23,01:05 PM,03:05 PM,FALSE,TRUE,04/23/23,09:05 AM,11:05 AM,FREE,BUSY
04/24/23,04:10 PM,06:10 PM,Rockies at Guardians,Progressive Field - Cleveland,"Local Radio: KOA 850 AM/94.1 FM ",04/24/23,04/24/23,07:10 PM,09:10 PM,FALSE,TRUE,04/24/23,03:10 PM,05:10 PM,FREE,BUSY
04/25/23,04:10 PM,06:10 PM,Rockies at Guardians,Progressive Field - Cleveland,"Local Radio: KOA 850 AM/94.1 FM ",04/25/23,04/25/23,07:10 PM,09:10 PM,FALSE,TRUE,04/25/23,03:10 PM,05:10 PM,FREE,BUSY
04/26/23,11:10 AM,01:10 PM,Rockies at Guardians,Progressive Field - Cleveland,"Local Radio: KOA 850 AM/94.1 FM ",04/26/23,04/26/23,02:10 PM,04:10 PM,FALSE,TRUE,04/26/23,10:10 AM,12:10 PM,FREE,BUSY
04/28/23,06:40 PM,08:40 PM,D-backs at Rockies,Coors Field - Denver,"",04/28/23,04/28/23,09:40 PM,11:40 PM,FALSE,TRUE,04/28/23,05:40 PM,07:40 PM,FREE,BUSY
04/29/23,06:10 PM,08:10 PM,D-backs at Rockies,Coors Field - Denver,"",04/29/23,04/29/23,09:10 PM,11:10 PM,FALSE,TRUE,04/29/23,05:10 PM,07:10 PM,FREE,BUSY
04/30/23,01:10 PM,03:10 PM,D-backs at Rockies,Coors Field - Denver,"",04/30/23,04/30/23,04:10 PM,06:10 PM,FALSE,TRUE,04/30/23,12:10 PM,02:10 PM,FREE,BUSY
05/02/23,06:40 PM,08:40 PM,Brewers at Rockies,Coors Field - Denver,"Local Radio: KNRV 1150",05/02/23,05/02/23,09:40 PM,11:40 PM,FALSE,TRUE,05/02/23,05:40 PM,07:40 PM,FREE,BUSY
05/03/23,06:40 PM,08:40 PM,Brewers at Rockies,Coors Field - Denver,"Local Radio: KNRV 1150",05/03/23,05/03/23,09:40 PM,11:40 PM,FALSE,TRUE,05/03/23,05:40 PM,07:40 PM,FREE,BUSY
05/04/23,01:10 PM,03:10 PM,Brewers at Rockies,Coors Field - Denver,"Local Radio: KNRV 1150",05/04/23,05/04/23,04:10 PM,06:10 PM,FALSE,TRUE,05/04/23,12:10 PM,02:10 PM,FREE,BUSY
05/05/23,05:10 PM,07:10 PM,Rockies at Mets,Citi Field - Flushing,"",05/05/23,05/05/23,08:10 PM,10:10 PM,FALSE,TRUE,05/05/23,04:10 PM,06:10 PM,FREE,BUSY
05/06/23,02:10 PM,04:10 PM,Rockies at Mets,Citi Field - Flushing,"",05/06/23,05/06/23,05:10 PM,07:10 PM,FALSE,TRUE,05/06/23,01:10 PM,03:10 PM,FREE,BUSY
05/07/23,11:40 AM,01:40 PM,Rockies at Mets,Citi Field - Flushing,"",05/07/23,05/07/23,02:40 PM,04:40 PM,FALSE,TRUE,05/07/23,10:40 AM,12:40 PM,FREE,BUSY
05/08/23,04:35 PM,06:35 PM,Rockies at Pirates,PNC Park - Pittsburgh,"",05/08/23,05/08/23,07:35 PM,09:35 PM,FALSE,TRUE,05/08/23,03:35 PM,05:35 PM,FREE,BUSY
05/09/23,04:35 PM,06:35 PM,Rockies at Pirates,PNC Park - Pittsburgh,"",05/09/23,05/09/23,07:35 PM,09:35 PM,FALSE,TRUE,05/09/23,03:35 PM,05:35 PM,FREE,BUSY
05/10/23,10:35 AM,12:35 PM,Rockies at Pirates,PNC Park - Pittsburgh,"",05/10/23,05/10/23,01:35 PM,03:35 PM,FALSE,TRUE,05/10/23,09:35 AM,11:35 AM,FREE,BUSY
05/12/23,06:40 PM,08:40 PM,Phillies at Rockies,Coors Field - Denver,"",05/12/23,05/12/23,09:40 PM,11:40 PM,FALSE,TRUE,05/12/23,05:40 PM,07:40 PM,FREE,BUSY
05/13/23,06:10 PM,08:10 PM,Phillies at Rockies,Coors Field - Denver,"",05/13/23,05/13/23,09:10 PM,11:10 PM,FALSE,TRUE,05/13/23,05:10 PM,07:10 PM,FREE,BUSY
05/14/23,01:10 PM,03:10 PM,Phillies at Rockies,Coors Field - Denver,"",05/14/23,05/14/23,04:10 PM,06:10 PM,FALSE,TRUE,05/14/23,12:10 PM,02:10 PM,FREE,BUSY
05/15/23,06:40 PM,08:40 PM,Reds at Rockies,Coors Field - Denver,"",05/15/23,05/15/23,09:40 PM,11:40 PM,FALSE,TRUE,05/15/23,05:40 PM,07:40 PM,FREE,BUSY
05/16/23,06:40 PM,08:40 PM,Reds at Rockies,Coors Field - Denver,"",05/16/23,05/16/23,09:40 PM,11:40 PM,FALSE,TRUE,05/16/23,05:40 PM,07:40 PM,FREE,BUSY
05/17/23,01:10 PM,03:10 PM,Reds at Rockies,Coors Field - Denver,"",05/17/23,05/17/23,04:10 PM,06:10 PM,FALSE,TRUE,05/17/23,12:10 PM,02:10 PM,FREE,BUSY
05/19/23,06:05 PM,08:05 PM,Rockies at Rangers,Globe Life Field - Arlington,"Local Radio: KOA 850 AM/94.1 FM ",05/19/23,05/19/23,09:05 PM,11:05 PM,FALSE,TRUE,05/19/23,05:05 PM,07:05 PM,FREE,BUSY
05/20/23,02:05 PM,04:05 PM,Rockies at Rangers,Globe Life Field - Arlington,"Local Radio: KOA 850 AM/94.1 FM ",05/20/23,05/20/23,05:05 PM,07:05 PM,FALSE,TRUE,05/20/23,01:05 PM,03:05 PM,FREE,BUSY
05/21/23,12:35 PM,02:35 PM,Rockies at Rangers,Globe Life Field - Arlington,"Local Radio: KOA 850 AM/94.1 FM ",05/21/23,05/21/23,03:35 PM,05:35 PM,FALSE,TRUE,05/21/23,11:35 AM,01:35 PM,FREE,BUSY
