START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
08/05/22,07:40 PM,09:40 PM,Rockies at D-backs,Chase Field - Phoenix,"Local TV: MLBN (out-of-market only)",08/05/22,08/06/22,10:40 PM,12:40 AM,FALSE,TRUE,08/05/22,06:40 PM,08:40 PM,FREE,BUSY
08/06/22,06:10 PM,08:10 PM,Rockies at D-backs,Chase Field - Phoenix,"Local TV: ATT SportsNet-RM",08/06/22,08/06/22,09:10 PM,11:10 PM,FALSE,TRUE,08/06/22,05:10 PM,07:10 PM,FREE,BUSY
08/07/22,02:10 PM,04:10 PM,Rockies at D-backs,Chase Field - Phoenix,"Local TV: ATT SportsNet-RM",08/07/22,08/07/22,05:10 PM,07:10 PM,FALSE,TRUE,08/07/22,01:10 PM,03:10 PM,FREE,BUSY
08/09/22,06:40 PM,08:40 PM,Cardinals at Rockies,Coors Field - Denver,"",08/09/22,08/09/22,09:40 PM,11:40 PM,FALSE,TRUE,08/09/22,05:40 PM,07:40 PM,FREE,BUSY
08/10/22,06:40 PM,08:40 PM,Cardinals at Rockies,Coors Field - Denver,"",08/10/22,08/10/22,09:40 PM,11:40 PM,FALSE,TRUE,08/10/22,05:40 PM,07:40 PM,FREE,BUSY
08/11/22,01:10 PM,03:10 PM,Cardinals at Rockies,Coors Field - Denver,"",08/11/22,08/11/22,04:10 PM,06:10 PM,FALSE,TRUE,08/11/22,12:10 PM,02:10 PM,FREE,BUSY
08/12/22,06:40 PM,08:40 PM,D-backs at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM",08/12/22,08/12/22,09:40 PM,11:40 PM,FALSE,TRUE,08/12/22,05:40 PM,07:40 PM,FREE,BUSY
08/13/22,06:10 PM,08:10 PM,D-backs at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM",08/13/22,08/13/22,09:10 PM,11:10 PM,FALSE,TRUE,08/13/22,05:10 PM,07:10 PM,FREE,BUSY
08/14/22,01:10 PM,03:10 PM,D-backs at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM",08/14/22,08/14/22,04:10 PM,06:10 PM,FALSE,TRUE,08/14/22,12:10 PM,02:10 PM,FREE,BUSY
08/16/22,05:45 PM,07:45 PM,Rockies at Cardinals,Busch Stadium - St. Louis,"",08/16/22,08/16/22,08:45 PM,10:45 PM,FALSE,TRUE,08/16/22,04:45 PM,06:45 PM,FREE,BUSY
