START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/24/15,02:05 PM,04:05 PM,Rockies at White Sox,Camelback Ranch,"Local TV: MLBN (delay)",03/24/15,03/24/15,05:05 PM,07:05 PM,FALSE,TRUE,03/24/15,01:05 PM,03:05 PM,FREE,BUSY
03/25/15,02:10 PM,04:10 PM,Giants at Rockies,Salt River Fields at Talking Stick,,03/25/15,03/25/15,05:10 PM,07:10 PM,FALSE,TRUE,03/25/15,01:10 PM,03:10 PM,FREE,BUSY
03/26/15,07:05 PM,09:05 PM,Rockies at Rangers,Surprise Stadium,"Local TV: MLBN (delay) -- ROOT SPORTS",03/26/15,03/27/15,10:05 PM,12:05 AM,FALSE,TRUE,03/26/15,06:05 PM,08:05 PM,FREE,BUSY
03/27/15,08:05 PM,10:05 PM,Rockies at Padres,Peoria Stadium,"Local TV: ROOT SPORTS",03/27/15,03/28/15,11:05 PM,01:05 AM,FALSE,TRUE,03/27/15,07:05 PM,09:05 PM,FREE,BUSY
03/28/15,02:05 PM,04:05 PM,Rockies at Cubs,Sloan Park,,03/28/15,03/28/15,05:05 PM,07:05 PM,FALSE,TRUE,03/28/15,01:05 PM,03:05 PM,FREE,BUSY
03/29/15,02:10 PM,04:10 PM,Rockies at D-backs,Estadio Sonora,,03/29/15,03/29/15,05:10 PM,07:10 PM,FALSE,TRUE,03/29/15,01:10 PM,03:10 PM,FREE,BUSY
03/29/15,02:10 PM,04:10 PM,D-backs at Rockies,Salt River Fields at Talking Stick,"Local TV: MLBN (delay) -- ROOT SPORTS ----- Local Radio: KOA 850",03/29/15,03/29/15,05:10 PM,07:10 PM,FALSE,TRUE,03/29/15,01:10 PM,03:10 PM,FREE,BUSY
03/30/15,02:05 PM,04:05 PM,Rockies at Athletics,HoHoKam Stadium,,03/30/15,03/30/15,05:05 PM,07:05 PM,FALSE,TRUE,03/30/15,01:05 PM,03:05 PM,FREE,BUSY
03/31/15,02:05 PM,04:05 PM,Rockies at Giants,Scottsdale Stadium,,03/31/15,03/31/15,05:05 PM,07:05 PM,FALSE,TRUE,03/31/15,01:05 PM,03:05 PM,FREE,BUSY
04/01/15,02:10 PM,04:10 PM,Rangers at Rockies,Salt River Fields at Talking Stick,,04/01/15,04/01/15,05:10 PM,07:10 PM,FALSE,TRUE,04/01/15,01:10 PM,03:10 PM,FREE,BUSY
04/03/15,08:05 PM,10:05 PM,Rockies at Mariners,Peoria Stadium,"Local TV: MLBN (delay)",04/03/15,04/04/15,11:05 PM,01:05 AM,FALSE,TRUE,04/03/15,07:05 PM,09:05 PM,FREE,BUSY
04/04/15,01:10 PM,03:10 PM,Mariners at Rockies,Salt River Fields at Talking Stick,,04/04/15,04/04/15,04:10 PM,06:10 PM,FALSE,TRUE,04/04/15,12:10 PM,02:10 PM,FREE,BUSY
04/06/15,12:10 PM,02:10 PM,Rockies at Brewers,Miller Park,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850 -- Rockies Radio Network",04/06/15,04/06/15,03:10 PM,05:10 PM,FALSE,TRUE,04/06/15,11:10 AM,01:10 PM,FREE,BUSY
04/07/15,06:10 PM,08:10 PM,Rockies at Brewers,Miller Park,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850 -- Rockies Radio Network",04/07/15,04/07/15,09:10 PM,11:10 PM,FALSE,TRUE,04/07/15,05:10 PM,07:10 PM,FREE,BUSY
04/08/15,06:10 PM,08:10 PM,Rockies at Brewers,Miller Park,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850 -- Rockies Radio Network",04/08/15,04/08/15,09:10 PM,11:10 PM,FALSE,TRUE,04/08/15,05:10 PM,07:10 PM,FREE,BUSY
04/10/15,02:10 PM,04:10 PM,Cubs at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KNRV 1150 -- KOA 850 -- Rockies Radio Network",04/10/15,04/10/15,05:10 PM,07:10 PM,FALSE,TRUE,04/10/15,01:10 PM,03:10 PM,FREE,BUSY
04/11/15,06:10 PM,08:10 PM,Cubs at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: Rockies Radio Network -- KOA 850 -- KNRV 1150",04/11/15,04/11/15,09:10 PM,11:10 PM,FALSE,TRUE,04/11/15,05:10 PM,07:10 PM,FREE,BUSY
04/12/15,02:10 PM,04:10 PM,Cubs at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KNRV 1150 -- KOA 850 -- Rockies Radio Network",04/12/15,04/12/15,05:10 PM,07:10 PM,FALSE,TRUE,04/12/15,01:10 PM,03:10 PM,FREE,BUSY
04/13/15,02:35 PM,04:35 PM,Rockies at Giants,AT&T Park,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850 -- Rockies Radio Network",04/13/15,04/13/15,05:35 PM,07:35 PM,FALSE,TRUE,04/13/15,01:35 PM,03:35 PM,FREE,BUSY
